name,when,town,country,styles,teachers,description,url,date-from,date-to,lat,lng,latlng
Swingin’ Hearts,10th Feb 2023 - 12th Feb 2023,Dundee,United Kingdom,Lindy Hop,"Sam & Tashi, Tim & Shell","Dundee University Swing Dance are very excited to invite you to Swingin' Hearts 2023, a mini-festival packed with classes, socials and plenty of dancing! ðŸ’– This fabulous event runs on Friday 10th and Saturday 11th February, and will include 4 hours of classes, 2 socials (Friday and Saturday), a live band, and an invite to a goodbye brunch on Sunday morning. We can't wait to dance with you!",http://www.tinyurl.com/swinginhearts2023,2023-02-10,2023-02-12,56.4605938,-2.97019,"56.4605938,-2.97019"
International Workshop with Andy Seo,10th Feb 2023 - 12th Feb 2023,Taiwan,"Taiwan, Republic of China",Lindy Hop,Andy Seo,"6 classes, 2 parties, review class",https://www.facebook.com/events/497251169163591/?active_tab=discussion,2023-02-10,2023-02-12,23.9739374,120.9820179,"23.9739374,120.9820179"
Hop The Tower- Pisa Swing Festival,10th Feb 2023 - 12th Feb 2023,Pisa,Italy,"Jazz, Lindy Hop",Ariadna Beltran & Simon Bressanelli Fredrik Dahlberg Frida Häggström Gerdt Nejc Zupan Jenna Applegarth Julia Wakabayashi & Simone Ceccarelli,"We are excited to announce the 4th edition of the HOP THE TOWER â€“ PISA SWING FESTIVAL 2023! This year's edition will feature classes in Lindy Hop and Jazz Roots from international teachers, live bands, dj sets and three grand parties! All parties and lessons will take place in one venue in the center of Pisa: the historic Leopolda train station and Jazz Road Lab. Come to dance and party with us and enjoy the fascinating setting of Pisa! BOOKING: www.pisaswingfestival.it Discount and one festival t-shirt until 15th january 2023 Lindy Hop 5h (4 Levels) Solo Jazz 4h (2 Levels) Taster Class 2h 3 Parties",https://www.pisaswingfestival.it/,2023-02-10,2023-02-12,43.7159395,10.4018624,"43.7159395,10.4018624"
Down By The Riverside,10th Feb 2023 - 12th Feb 2023,"Bilbao, Basque Country",Spain,"Jazz, Lindy Hop",Frida & Skye Marie & Felix Viktor & Tyedric T.J. Jazz (MC & Tap) Quinndy Akeju (Afrodance) Live music with Enric Peidro & Jonathan Stout Riverside All Stars,"So here we are, still shocked with this exceptional jazz ensemble we'll have on board. Amazing teachers, beautiful city, great parties, mix & match competition... Are you going to miss it? Stay tuned, registrations will open on November 4th!",http://www.downbytheriverside.es,2023-02-10,2023-02-12,43.2630018,-2.9350039,"43.2630018,-2.9350039"
Alamo Stomp,10th Feb 2023 - 12th Feb 2023,"San Antonio, TX",United States,"Charleston, Jazz, Lindy Hop",Gaby Cook and Nathan Bugh Dee Daniels Locke and Christian Frommelt Natalia Erastavi,"Offering 7 hours of instruction, collaboration track, unique class structure, and something for-every level of dancer! Check out this year's lineup, including our optional level placementsystem, and private lessons from instructors.",http://www.alamostomp.com,2023-02-10,2023-02-12,29.4246002,-98.4951405,"29.4246002,-98.4951405"
Holy Lollies,10th Feb 2023 - 12th Feb 2023,Strasbourg,France,Balboa,"Olga Marina & Andreas Olsson Isabelle Jaschke & Eran Tobi Emilie Francois & Yannick Pierron 
Band : The Rhythm Outlines","Join us and share with us unexpected moments of great complicity, exquisite cakes, and smooth or crispy dances.",http://www.holylollies.fr/,2023-02-10,2023-02-12,48.584614,7.7507127,"48.584614,7.7507127"
Bal-Inspiration,10th Feb 2023 - 12th Feb 2023,Zurich,Switzerland,Balboa,Grace Babbes (US) & Blake Thiessen (US) CÃ©line Guitou (F) & Edgar Cavasa (F),"Get ready for a weekend filled with new inspiration, lots of dancing in classes and socially. Enjoy the essence of Balboa with peers and friends. All classes and evenings take place in the very heart of Zurich, Switzerland. Looking forward to welcoming two international teaching couples to share their Balboa passion for the first time in Switzerland! Live music with the wonderful ""The Hot Teapots"" from Italy and DJ Marijke at the (digital) turntables! See you on the dance floor!",https://app.downtownswing.ch/events/balboa-inspiration,2023-02-10,2023-02-12,47.3744489,8.5410422,"47.3744489,8.5410422"
Back On The Floor,11th Feb 2023 - 12th Feb 2023,"Titchfield, Fareham",United Kingdom,Lindy Hop,Bic & Simone Graham Tash Guildford & Martin Chilvers Su Gorrie & Steve Head Juan Mertal Morillo & Emma Livingstone,"Back On The Floor has a focus to get people moving again as we come out of the winter months. We have a wonderful team of local teachers who create a welcoming atmosphere. The ticket includes all classes for 2 days, a Saturday night social and a Sunday farewell dance. 3 Lindy Hop levels: Intermediate/ Inter/Advanced and Advanced. You don't need a partner to book on with.",http://www.thelindyclub.co.uk,2023-02-11,2023-02-12,50.8490257,-1.2354298,"50.8490257,-1.2354298"
Rock That Swing Festival,16th Feb 2023 - 20th Feb 2023,Munich,Germany,"Balboa, Boogie Woogie, Charleston, Jazz, Lindy Hop, Shag",Teachers and bands will be announced soon,"We are looking forward to welcoming guests from around the world to the 16th international Rock That Swing Festival in Munich from Feb 16th to 20th, 2023. For more than a decade the festival celebrates the diversity of the dances and music of the Swing and Rock'n'Roll era from the 20s to the 50s. Over a span of 5 days, fantastic dance nights, hot live music, shows, competitions, numerous workshops, dance masters from the 30s, and passionate dancers from all over the world create an inspiring and unforgettable atmosphere. At the Rock That Swing Dance Camp more than 70 of the world's best teachers give classes during the daytime offering a vast variety of more than 250 workshops in Lindy Hop, Boogie Woogie, Charleston, Balboa, Shag, Authentic Jazz, Rockabilly Jive, Blues, etc. Dancers at any level, from beginner to intermediate to advanced and all the way up to teacher, can create their own individual schedule. The 16th edition will again offer a fantastic line-up of the best bands (16 bands) and teachers in great locations, including two nights at the marvelous ballroom of the Deutsches Theater in the city center of Munich. We are looking forward to welcoming you to one of the greatest parties of the year.",http://www.rockthatswing.com,2023-02-16,2023-02-20,48.1371079,11.5753822,"48.1371079,11.5753822"
Big City Blues,17th Feb 2023 - 19th Feb 2023,Ghent,Belgium,Blues,Kenneth Ship (US) & Katarina Rogers (US) Pavlina Grombiri Korcova (CZ) & Alex McCormack (BE) Alexia Legoueix (FR) & Sep Vermeersch (BE) Genia Tsvietkova (UA) & Arnas JasiÅ«nas (LT) Helena Kanini Kiiru (HR) Els Houttequiet (BE),"A celebration of the blues - a fool's paradise 3 nights of parties International and Ghent teachers. Registrations open from the 1th of December. Check us out on social media for the specials, such as the 'reflective track' and 'teachers and scene leaders training'.",http://www.bigcityblues.be,2023-02-17,2023-02-19,51.0538286,3.7250121,"51.0538286,3.7250121"
